TEFF   5500.  GRAVITY 0.50000 LTE 
TITLE  [0.0] VTURB=2  L/H=1.25 NOVER NEW ODF                                    
FLUX   71    41.40        7.241365E+15   3.4902E-53   3.4903E-53   0.99998
FLUX   72    42.20        7.104088E+15   2.7618E-52   2.7618E-52   0.99998
FLUX   73    43.00        6.971919E+15   2.0192E-51   2.0192E-51   0.99998
FLUX   74    44.10        6.798016E+15   2.7575E-50   2.7575E-50   0.99998
FLUX   75    45.10        6.647284E+15   2.6480E-49   2.6480E-49   0.99998
FLUX   76    46.00        6.517228E+15   1.8600E-48   1.8601E-48   0.99998
FLUX   77    47.00        6.378564E+15   1.4830E-47   1.4830E-47   0.99998
FLUX   78    48.00        6.245677E+15   1.0808E-46   1.0809E-46   0.99998
FLUX   79    49.00        6.118214E+15   7.2488E-46   7.2489E-46   0.99998
FLUX   80    50.00        5.995850E+15   4.4895E-45   4.4896E-45   0.99998
FLUX   81    50.60        5.924753E+15   1.7253E-44   1.9621E-44   0.87929
FLUX   82    51.20        5.855322E+15   5.4260E-44   5.4880E-44   0.98871
FLUX   83    52.00        5.765240E+15   2.0626E-43   2.0813E-43   0.99102
FLUX   84    53.00        5.656462E+15   1.0386E-42   1.0386E-42   0.99998
FLUX   85    54.00        5.551713E+15   4.8454E-42   4.8725E-42   0.99444
FLUX   86    55.00        5.450773E+15   2.1573E-41   2.1573E-41   0.99998
FLUX   87    56.00        5.353438E+15   9.0372E-41   9.0374E-41   0.99998
FLUX   88    57.00        5.259518E+15   3.5927E-40   3.5928E-40   0.99998
FLUX   89    58.00        5.168836E+15   1.3447E-39   1.3596E-39   0.98908
FLUX   90    59.00        5.081229E+15   4.9046E-39   4.9066E-39   0.99958
FLUX   91    60.00        4.996542E+15   1.6925E-38   1.6934E-38   0.99946
FLUX   92    61.00        4.914631E+15   5.6011E-38   5.6012E-38   0.99998
FLUX   93    62.00        4.835363E+15   1.7792E-37   1.7794E-37   0.99987
FLUX   94    63.00        4.758611E+15   5.4394E-37   5.4399E-37   0.99991
FLUX   95    64.00        4.684258E+15   1.6041E-36   1.6042E-36   0.99997
FLUX   96    65.00        4.612192E+15   4.5685E-36   4.5687E-36   0.99997
FLUX   97    65.80        4.556117E+15   1.0303E-35   1.0304E-35   0.99991
FLUX   98    66.50        4.508158E+15   2.0622E-35   2.0640E-35   0.99915
FLUX   99    67.50        4.441370E+15   5.4208E-35   5.4242E-35   0.99937
FLUX  100    68.50        4.376533E+15   1.3837E-34   1.3838E-34   0.99992
FLUX  101    69.50        4.313561E+15   3.4315E-34   3.4317E-34   0.99993
FLUX  102    70.50        4.252376E+15   8.2597E-34   8.2823E-34   0.99726
FLUX  103    71.60        4.187046E+15   2.1184E-33   2.1186E-33   0.99989
FLUX  104    72.60        4.129373E+15   4.8477E-33   4.8478E-33   0.99998
FLUX  105    73.50        4.078810E+15   1.0007E-32   1.0009E-32   0.99984
FLUX  106    74.50        4.024060E+15   2.1909E-32   2.1920E-32   0.99951
FLUX  107    75.50        3.970762E+15   4.6929E-32   4.6964E-32   0.99923
FLUX  108    76.50        3.918856E+15   9.8512E-32   9.8526E-32   0.99985
FLUX  109    77.50        3.868290E+15   2.0242E-31   2.0255E-31   0.99935
FLUX  110    78.50        3.819013E+15   4.0837E-31   4.0838E-31   0.99998
FLUX  111    79.50        3.770975E+15   8.0244E-31   8.0810E-31   0.99299
FLUX  112    80.50        3.724130E+15   1.5662E-30   1.5706E-30   0.99721
FLUX  113    81.50        3.678436E+15   2.9986E-30   3.0000E-30   0.99954
FLUX  114    82.50        3.633848E+15   5.6346E-30   5.6363E-30   0.99970
FLUX  115    83.50        3.590329E+15   1.0421E-29   1.0422E-29   0.99986
FLUX  116    84.50        3.547840E+15   1.8974E-29   1.8976E-29   0.99987
FLUX  117    85.50        3.506345E+15   3.4044E-29   3.4044E-29   0.99998
FLUX  118    86.50        3.465809E+15   6.0187E-29   6.0192E-29   0.99991
FLUX  119    87.50        3.426200E+15   1.0479E-28   1.0495E-28   0.99847
FLUX  120    88.50        3.387486E+15   1.8055E-28   1.8058E-28   0.99983
FLUX  121    89.50        3.349637E+15   3.0668E-28   3.0670E-28   0.99992
FLUX  122    90.50        3.312624E+15   5.1426E-28   5.1443E-28   0.99966
FLUX  123    91.50        3.276421E+15   8.5459E-25   2.1503E-24   0.39742
FLUX  124    92.50        3.241000E+15   3.4103E-24   3.6515E-24   0.93393
FLUX  125    93.50        3.206337E+15   5.6817E-24   6.1251E-24   0.92761
FLUX  126    94.50        3.172407E+15   9.4569E-24   1.0158E-23   0.93095
FLUX  127    95.50        3.139188E+15   1.6212E-23   1.6672E-23   0.97239
FLUX  128    96.50        3.106658E+15   2.6495E-23   2.7041E-23   0.97980
FLUX  129    97.50        3.074795E+15   4.2398E-23   4.3401E-23   0.97690
FLUX  130    98.50        3.043579E+15   6.7406E-23   6.9309E-23   0.97254
FLUX  131    99.50        3.012990E+15   1.0609E-22   1.0933E-22   0.97035
FLUX  132   100.50        2.983010E+15   1.7009E-22   1.7083E-22   0.99565
FLUX  133   101.50        2.953621E+15   2.6321E-22   2.6420E-22   0.99626
