  4300   0.00   10.0   0.8656   0.8779   0.8903   0.9053   0.9183   0.9267   0.8914   0.8889
  4400   0.00   10.0   0.8661   0.8788   0.8909   0.9055   0.9182   0.9263   0.8916   0.8893
  4500   0.00   10.0   0.8660   0.8791   0.8910   0.9051   0.9177   0.9255   0.8912   0.8890
  4600   0.00   10.0   0.8658   0.8792   0.8909   0.9046   0.9170   0.9245   0.8907   0.8887
  4700   0.00   10.0   0.8652   0.8792   0.8907   0.9039   0.9162   0.9235   0.8901   0.8882
  4800   0.00   10.0   0.8649   0.8792   0.8908   0.9035   0.9157   0.9227   0.8897   0.8879
  4900   0.00   10.0   0.8635   0.8781   0.8896   0.9021   0.9141   0.9210   0.8882   0.8865
  5000   0.00   10.0   0.8621   0.8771   0.8886   0.9008   0.9125   0.9193   0.8868   0.8852
  5100   0.00   10.0   0.8596   0.8749   0.8864   0.8984   0.9097   0.9163   0.8841   0.8827
  3000   2.00   10.0   0.8558   0.8235   0.8602   0.8932   0.9555   0.9626   0.9043   0.8804
  3000   2.25   10.0   0.8589   0.8371   0.8697   0.9020   0.9496   0.9662   0.9117   0.8894
  3000   2.50   10.0   0.8574   0.8465   0.8762   0.9085   0.9540   0.9836   0.9169   0.8957
  3000   0.25   10.0   0.8847   0.9100   0.9232   0.9376   0.9392   0.9504   0.9354   0.9306
  3000   2.75   10.0   0.8738   0.8675   0.8916   0.9212   0.9662   0.9877   0.9268   0.9091
  3100   2.00   10.0   0.9023   0.9111   0.9295   0.9398   0.9607   0.9696   0.9397   0.9337
  3100   2.25   10.0   0.8818   0.8724   0.8970   0.9181   0.9581   0.9654   0.9222   0.9083
  3100   2.50   10.0   0.8714   0.8555   0.8820   0.9109   0.9560   0.9636   0.9167   0.8984
  3100   0.25   10.0   0.8828   0.9121   0.9250   0.9362   0.9370   0.9473   0.9309   0.9298
  3100   2.75   10.0   0.8705   0.8531   0.8785   0.9126   0.9517   0.9781   0.9188   0.8985
  3200   2.00   10.0   0.8988   0.9262   0.9419   0.9478   0.9588   0.9684   0.9441   0.9423
  3200   2.25   10.0   0.9005   0.9116   0.9284   0.9392   0.9632   0.9716   0.9378   0.9322
  3200   2.50   10.0   0.8925   0.8933   0.9137   0.9295   0.9605   0.9685   0.9302   0.9208
  3200   0.25   10.0   0.8589   0.8747   0.9095   0.9127   0.9345   0.9443   0.9100   0.9053
  3200   2.75   10.0   0.8877   0.8796   0.8994   0.9232   0.9581   0.9647   0.9256   0.9118
  3300   2.00   10.0   0.8872   0.9151   0.9405   0.9441   0.9602   0.9694   0.9390   0.9368
  3300   2.25   10.0   0.8894   0.9173   0.9396   0.9439   0.9605   0.9695   0.9395   0.9372
  3300   2.50   10.0   0.9212   0.9344   0.9460   0.9537   0.9672   0.9754   0.9500   0.9470
  3300   0.25   10.0   0.8819   0.8961   0.9201   0.9270   0.9303   0.9405   0.9211   0.9184
  3300   2.75   10.0   0.9026   0.9107   0.9293   0.9396   0.9618   0.9699   0.9386   0.9326
  3400   2.00   10.0   0.8802   0.8988   0.9262   0.9372   0.9603   0.9693   0.9285   0.9239
  3400   2.25   10.0   0.8833   0.9028   0.9309   0.9402   0.9616   0.9703   0.9319   0.9279
  3400   2.50   10.0   0.8868   0.9059   0.9322   0.9415   0.9625   0.9710   0.9337   0.9297
  3400   0.25   10.0   0.8664   0.8734   0.8954   0.9148   0.9304   0.9404   0.9036   0.8979
  3400   2.75   10.0   0.9171   0.9300   0.9459   0.9526   0.9686   0.9763   0.9480   0.9452
  3500   2.00   10.0   0.8917   0.9063   0.9250   0.9419   0.9599   0.9688   0.9302   0.9257
  3500   2.25   10.0   0.8835   0.8984   0.9215   0.9382   0.9618   0.9703   0.9262   0.9212
  3500   2.50   10.0   0.8870   0.9026   0.9251   0.9407   0.9626   0.9710   0.9292   0.9246
  3500   0.25   10.0   0.8727   0.8806   0.8952   0.9158   0.9296   0.9396   0.9030   0.8983
  3500   2.75   10.0   0.8893   0.9046   0.9268   0.9418   0.9637   0.9718   0.9307   0.9262
  3600   2.00   10.0   0.8903   0.9048   0.9197   0.9396   0.9605   0.9692   0.9258   0.9213
  3600   2.25   10.0   0.8897   0.9057   0.9234   0.9416   0.9614   0.9699   0.9283   0.9239
  3600   2.50   10.0   0.8935   0.9085   0.9243   0.9427   0.9627   0.9710   0.9296   0.9253
  3600   0.25   10.0   0.8711   0.8812   0.8944   0.9144   0.9295   0.9394   0.9009   0.8968
  3600   2.75   10.0   0.8893   0.9045   0.9229   0.9412   0.9637   0.9717   0.9279   0.9234
  3700   2.00   10.0   0.8897   0.9066   0.9206   0.9400   0.9607   0.9692   0.9255   0.9214
  3700   2.25   10.0   0.8912   0.9080   0.9220   0.9411   0.9620   0.9703   0.9268   0.9228
  3700   2.50   10.0   0.8920   0.9087   0.9231   0.9419   0.9630   0.9711   0.9277   0.9237
