50
   3190.0    0.0
   3210.00   .16000E-02
   3230.00   .48000E-02
   3250.00   .80500E-02
   3270.00   .11600E-01
   3290.00   .15200E-01
   3310.00   .32800E-01
   3330.00   .64400E-01
   3350.00   .96050E-01
   3370.00   .12800E+00
   3390.00   .16000E+00
   3410.00   .20740E+00
   3430.00   .27020E+00
   3450.00   .33295E+00
   3470.00   .39540E+00
   3490.00   .45780E+00
   3510.00   .51920E+00
   3530.00   .57960E+00
   3550.00   .64040E+00
   3570.00   .70360E+00
   3590.00   .76720E+00
   3610.00   .81920E+00
   3630.00   .85455E+00
   3640.00   .87980E+00
   3650.00   .90498E+00
   3670.00   .94000E+00
   3690.00   .98000E+00
   3710.00   .99500E+00
   3730.00   .98500E+00
   3750.00   .97375E+00
   3770.00   .95500E+00
   3790.00   .93500E+00
   3810.00   .87000E+00
   3830.00   .76000E+00
   3850.00   .64995E+00
   3870.00   .53960E+00
   3890.00   .42920E+00
   3910.00   .33920E+00
   3930.00   .26960E+00
   3950.00   .20025E+00
   3970.00   .13240E+00
   3990.00   .64800E-01
   4010.00   .28200E-01
   4030.00   .22600E-01
   4050.00   .16900E-01
   4070.00   .10600E-01
   4090.00   .42000E-02
   4110.00   .80000E-03
   4130.00   .40000E-03
   4150.00   0.0
