  3500   4.00    0.2  -0.4362   4.0837  -5.2839   2.5913  -0.2675   3.8972  -5.2596   2.5885   0.1000   3.2419  -4.8981   2.5213   0.9068   1.0904  -2.3938   1.3808   4.0628  -8.8203   9.5027  -3.6317   4.5974 -10.8685  11.9173  -4.5735   0.8504   1.1538  -2.4543   1.4351   0.4118   2.3766  -3.8453   2.0293
  3500   4.25    0.2  -0.1231   3.1392  -3.9599   1.9177   0.0483   2.9789  -3.8355   1.7812   0.4886   1.9816  -3.0722   1.5821   1.2654  -0.0704  -0.9164   0.7129   3.0489  -6.6548   7.7444  -3.1577   4.6196 -11.6011  12.8218  -4.9071   1.2233  -0.1665  -0.6524   0.5861   0.8044   1.1461  -2.1806   1.2145
  3500   4.50    0.2   0.1836   2.2676  -2.8974   1.4327   0.3789   2.0618  -2.6730   1.2121   0.8850   0.6586  -1.2857   0.7259   1.5977  -1.2960   0.6811   0.0052   2.9785  -7.0794   8.5584  -3.5215   4.6396 -11.7351  12.8853  -4.9324   1.5172  -1.2765   0.8539  -0.1081   1.1700  -0.1050  -0.5331   0.4535
  3500   4.75    0.2   0.4467   1.3923  -1.8438   0.9976   0.6461   1.2877  -1.8309   0.8757   1.1605  -0.3179  -0.0395   0.1729   1.7860  -2.2022   1.9492  -0.5574   2.9483  -7.0478   8.4324  -3.4389   4.4414 -11.3109  12.4878  -4.8191   1.6710  -2.0047   1.8934  -0.5857   1.4082  -1.0458   0.7057  -0.0916
  3600   4.00    0.2   0.6679  -0.0593   0.5625  -0.1455   1.1169  -1.3127   1.9098  -0.6891   1.6945  -2.6825   3.2149  -1.2092   2.1566  -3.4321   3.7327  -1.4061   5.8093 -12.1810  12.0809  -4.3380   6.6153 -14.4739  14.5156  -5.2613   2.0510  -3.2337   3.5504  -1.3142   1.7842  -2.7581   3.2120  -1.2064
  3600   4.25    0.2   0.1647   1.7926  -2.0785   1.1034   0.3991   1.4298  -1.8706   1.0179   0.8556   0.4282  -1.0326   0.7269   1.4099  -0.9523   0.4786   0.0495   4.8679 -10.6019  11.0919  -4.1951   4.9567 -11.4056  12.2881  -4.7298   1.3515  -0.8624   0.4012   0.1014   1.0271  -0.0111  -0.5206   0.4855
  3600   4.50    0.2   0.2075   1.9582  -2.5236   1.3375   0.4570   1.5742  -2.2237   1.1644   0.9490   0.2988  -0.9473   0.6744   1.5387  -1.2718   0.7254  -0.0139   3.8447  -8.2321   8.9146  -3.4762   4.4523 -10.8970  12.2516  -4.8107   1.4488  -1.1068   0.6119   0.0280   1.1391  -0.2041  -0.4089   0.4499
  3600   4.75    0.2   0.3982   1.3231  -1.7325   0.9956   0.6421   1.0053  -1.5570   0.8808   1.1132  -0.3201  -0.1208   0.2951   1.6850  -1.9343   1.6509  -0.4310   3.6547  -7.9119   8.6936  -3.4249   4.4086 -10.9689  12.3405  -4.8326   1.5696  -1.6521   1.3841  -0.3281   1.3018  -0.8475   0.4552   0.0601
  3700   4.00    0.2   0.7686  -0.0472   0.4482  -0.0952   1.4335  -1.9795   2.6112  -0.9560   2.3177  -4.1130   4.5939  -1.6457   2.7823  -4.2618   4.0113  -1.3290   3.9099  -3.5654   0.1311   0.9233   4.8243  -5.5699   1.7622   0.4507   2.3630  -3.6305   3.6774  -1.2385   2.2373  -3.6238   3.9120  -1.3694
  3700   4.25    0.2   1.4024  -1.5111   2.1793  -0.9572   2.0315  -3.3677   4.2313  -1.7549   2.8660  -5.5412   6.3408  -2.4935   3.4699  -6.1974   6.2752  -2.3200   5.6734  -8.8996   6.2258  -1.5039   6.5498 -11.1421   8.4103  -2.2663   3.0315  -5.4217   5.7876  -2.1989   2.8568  -5.2398   5.8302  -2.2665
  3700   4.50    0.2   1.3124  -1.2608   1.6675  -0.6293   1.7871  -2.6330   3.1754  -1.2298   2.4562  -4.4208   4.9575  -1.8815   3.2056  -5.7559   5.8737  -2.1544   6.3805 -12.1336  10.6869  -3.4486   7.2695 -14.5382  13.1616  -4.3596   2.7995  -4.9123   5.1692  -1.9088   2.5529  -4.4666   4.8669  -1.8267
  3700   4.75    0.2   1.2724  -1.3723   1.8427  -0.6716   1.6959  -2.5325   3.0612  -1.1497   2.2537  -4.0085   4.5071  -1.6771   3.0002  -5.4721   5.7073  -2.1088   6.8902 -14.2071  13.4246  -4.6388   7.6297 -16.3633  15.7589  -5.5263   2.6345  -4.6857   5.0067  -1.8446   2.3783  -4.1725   4.5884  -1.7032
  3800   4.00    0.2   0.8910   1.0873  -2.0307   1.1649   1.3548   0.2080  -1.2826   0.8691   2.0568  -1.5590   0.4854   0.2124   2.7724  -2.4152   0.5339   0.3746   2.8943   0.1135  -4.5274   2.8695   3.7667  -1.7371  -3.0906   2.4802   2.1917  -1.5057   0.0786   0.4497   2.0587  -1.3728   0.1224   0.3921
  3800   4.25    0.2   1.7341  -1.4611   1.2750  -0.3862   2.2634  -2.7173   2.4834  -0.8338   3.0122  -4.7232   4.5300  -1.5818   3.8040  -5.9365   5.0174  -1.5778   4.7492  -5.6934   2.2696   0.1329   5.6416  -7.8415   4.2319  -0.5107   3.2044  -4.8197   4.2716  -1.3962   3.0398  -4.5865   4.2096  -1.4183
  3800   4.50    0.2   1.6690  -1.7954   1.9929  -0.7341   2.1977  -3.2683   3.5931  -1.3672   2.9470  -5.3540   5.7663  -2.1757   3.7763  -6.7917   6.6318  -2.3659   5.9534 -10.2005   8.0415  -2.3007   6.8694 -12.5878  10.4120  -3.1432   3.2172  -5.6441   5.7218  -2.0816   3.0072  -5.2861   5.5190  -2.0451
