TEFF   5250.  GRAVITY 1.00000 LTE 
TITLE  [-1.0] VTURB=2  L/H=1.25 NOVER NEW ODF                                   
FLUX    1     9.09        3.298047E+16   1.5502-204   1.5503-204   0.99998
FLUX    2     9.35        3.206337E+16   6.3106-199   6.3107-199   0.99998
FLUX    3     9.61        3.119589E+16   1.2725-193   1.2725-193   0.99998
FLUX    4     9.77        3.068500E+16   1.6900-190   1.6900-190   0.99998
FLUX    5     9.96        3.009965E+16   6.3938-187   6.3939-187   0.99998
FLUX    6    10.20        2.939142E+16   1.3579-182   1.3579-182   0.99998
FLUX    7    10.38        2.888174E+16   1.7625-179   1.7625-179   0.99998
FLUX    8    10.56        2.838944E+16   1.7884-176   1.7884-176   0.99998
FLUX    9    10.77        2.783589E+16   4.2821-173   4.2822-173   0.99998
FLUX   10    11.04        2.715512E+16   6.1133-169   6.1134-169   0.99998
FLUX   11    11.40        2.629759E+16   1.0397-163   1.0398-163   0.99998
FLUX   12    11.78        2.544928E+16   1.5449-158   1.5449-158   0.99998
FLUX   13    12.13        2.471496E+16   4.6073-154   4.6073-154   0.99998
FLUX   14    12.48        2.402184E+16   7.6652-150   7.6653-150   0.99998
FLUX   15    12.71        2.358714E+16   3.3948-147   3.3949-147   0.99998
FLUX   16    12.84        2.334833E+16   9.6459-146   9.6461-146   0.99998
FLUX   17    13.05        2.297260E+16   1.8648-143   1.8648-143   0.99998
FLUX   18    13.24        2.264294E+16   1.8876-141   1.8876-141   0.99998
FLUX   19    13.39        2.238928E+16   6.5849-140   6.5850-140   0.99998
FLUX   20    13.66        2.194674E+16   3.2292-137   3.2292-137   0.99998
FLUX   21    13.98        2.144439E+16   3.6489-134   3.6489-134   0.99998
FLUX   22    14.33        2.092062E+16   5.5359-131   5.5360-131   0.99998
FLUX   23    14.72        2.036634E+16   1.2820-127   1.2820-127   0.99998
FLUX   24    15.10        1.985381E+16   1.6502-124   1.6502-124   0.99998
FLUX   25    15.52        1.931653E+16   2.9888-121   2.9889-121   0.99998
FLUX   26    15.88        1.887862E+16   1.3456-118   1.3456-118   0.99998
FLUX   27    16.20        1.850571E+16   2.4403-116   2.4403-116   0.99998
FLUX   28    16.60        1.805979E+16   1.2213-113   1.2213-113   0.99998
FLUX   29    17.03        1.760379E+16   7.0077-111   7.0078-111   0.99998
FLUX   30    17.34        1.728907E+16   5.6023-109   5.6024-109   0.99998
FLUX   31    17.68        1.695659E+16   5.7235-107   5.7236-107   0.99998
FLUX   32    18.02        1.663665E+16   4.9002-105   4.9003-105   0.99998
FLUX   33    18.17        1.649931E+16   3.3074-104   3.3075-104   0.99998
FLUX   34    18.61        1.610921E+16   7.4855-102   7.4856-102   0.99998
FLUX   35    19.10        1.569594E+16   2.3278E-99   2.3279E-99   0.99998
FLUX   36    19.39        1.546119E+16   6.0424E-98   6.0425E-98   0.99998
FLUX   37    19.84        1.511051E+16   7.8157E-96   7.8158E-96   0.99998
FLUX   38    20.18        1.485592E+16   2.6667E-94   2.6668E-94   0.99998
FLUX   39    20.50        1.462402E+16   6.6419E-93   6.6421E-93   0.99998
FLUX   40    21.05        1.424192E+16   1.3175E-90   1.3175E-90   0.99998
FLUX   41    21.62        1.386644E+16   2.3756E-88   2.3756E-88   0.99998
FLUX   42    21.98        1.363933E+16   5.4888E-87   5.4889E-87   0.99998
FLUX   43    22.30        1.344361E+16   8.1900E-86   8.1901E-86   0.99998
FLUX   44    22.68        1.321836E+16   1.8365E-84   1.8366E-84   0.99998
FLUX   45    23.00        1.303446E+16   2.3268E-83   2.3269E-83   0.99998
FLUX   46    23.40        1.281165E+16   5.0244E-82   5.0245E-82   0.99998
FLUX   47    24.00        1.249135E+16   4.1488E-80   4.1488E-80   0.99998
FLUX   48    24.65        1.216197E+16   3.8702E-78   3.8702E-78   0.99998
FLUX   49    25.24        1.187767E+16   1.9341E-76   1.9342E-76   0.99998
FLUX   50    25.68        1.167416E+16   3.1745E-75   3.1746E-75   0.99998
FLUX   51    26.00        1.153048E+16   2.2864E-74   2.2865E-74   0.99998
FLUX   52    26.40        1.135578E+16   2.5191E-73   2.5192E-73   0.99998
FLUX   53    26.85        1.116546E+16   3.4289E-72   3.4289E-72   0.99998
FLUX   54    27.35        1.096133E+16   5.6272E-71   5.6273E-71   0.99998
FLUX   55    27.85        1.076454E+16   8.3481E-70   8.3482E-70   0.99998
FLUX   56    28.40        1.055607E+16   1.4489E-68   1.4490E-68   0.99998
FLUX   57    29.00        1.033767E+16   2.8725E-67   2.8726E-67   0.99998
FLUX   58    29.60        1.012812E+16   5.0244E-66   5.0245E-66   0.99998
FLUX   59    30.10        9.959883E+15   4.9978E-65   4.9979E-65   0.99997
FLUX   60    30.80        9.733523E+15   1.0958E-63   1.0958E-63   0.99998
FLUX   61    31.80        9.427437E+15   7.0857E-62   7.0858E-62   0.99998
FLUX   62    32.80        9.140015E+15   3.5324E-60   3.5325E-60   0.99998
FLUX   63    33.80        8.869601E+15   1.3881E-58   1.3882E-58   0.99998
